H,M,E,B,HSubs,MSubs,ESubs,BSubs
0.010976,0.275684,0.09,0.5,15,42,7,3
0.010976,0.275684,0.1,1,15,42,8,5
0.010976,0.275684,0.11,0.25,15,42,9,2
0.010976,0.275684,0.11,0.75,15,42,9,4
0.010976,0.296352,0.09,0.75,15,43,7,4
0.010976,0.296352,0.1,1,15,43,8,5
0.010976,0.296352,0.11,0.5,15,43,9,3
0.010976,0.296352,0.11,0.75,15,43,9,4
0.010976,0.318028,0.08,0.5,15,44,6,3
0.010976,0.318028,0.08,0.75,15,44,6,4
0.010976,0.318028,0.09,0.75,15,44,7,4
0.010976,0.318028,0.1,0.25,15,44,8,2
0.010976,0.318028,0.11,0.5,15,44,9,3
